fcode,year,month,obs_dengue_cases,severe_dengue_cases,pop_total,pop_density,ws_avg,ws_max,ws_min,t2m_avg,t2m_max,t2m_min,rh_avg,rh_max,rh_min,tp_accum
ED_AN_GIANG_AN_PHU_DISTRICT,2023,5,12,2,148259.0,655.3316164,2.16117577741935,3.37785080645161,1.12973799322581,302.233650967742,306.172372258065,299.547729677419,78.8815920645161,93.037594516129,60.7405137741936,0.0084602168887096
ED_AN_GIANG_CHAU_DOC_CITY,2023,5,1,0,101612.0,962.3920574,2.25812532903226,3.45718070322581,1.22433502322581,302.135330645161,305.815666129032,299.598276129032,79.8269234516129,93.0140801935484,63.0042956129032,0.0091789415514516
ED_AN_GIANG_CHAU_PHU_DISTRICT,2023,5,42,2,206321.0,457.1025352,2.35788776451613,3.66057402903226,1.26998837387097,301.982874516129,305.556742258065,299.507664516129,80.1304969032258,92.6223836451613,63.646804,0.0085173779519354
ED_AN_GIANG_CHAU_THANH_DISTRICT,2023,5,28,1,151069.0,426.3912139,2.43839007290323,3.76834786129032,1.31300649258065,301.904072580645,305.383070967742,299.49594516129,80.6659072258064,92.6214497419355,64.5476699354839,0.0088040806172258
ED_AN_GIANG_CHO_MOI_DISTRICT,2023,5,68,1,307715.0,834.7201029,2.46385115483871,3.76263193548387,1.34791824,301.827562580645,305.404629677419,299.460444516129,81.3317861290323,93.1866097096774,64.8869797741935,0.0088411774351612
ED_AN_GIANG_LONG_XUYEN_CITY,2023,5,17,1,272838.0,2373.328615,2.47667369354839,3.77917466129032,1.34697481612903,301.834700645161,305.351137741935,299.47217516129,81.1436859354839,92.8690839032258,64.790282,0.009299822186129
ED_AN_GIANG_PHU_TAN_DISTRICT,2023,5,29,0,188532.0,603.0978292,2.31331354516129,3.54471765806452,1.26455075580645,302.019283225806,305.70869516129,299.510491612903,80.2683121612903,93.0234488709677,63.2986890322581,0.0082237791829032
ED_AN_GIANG_TAN_CHAU_TOWN,2023,5,10,1,140901.0,797.4506986,2.21324601935484,3.45806682903226,1.16806152612903,302.196202580645,306.130040322581,299.57341516129,79.4450701612903,93.1547544193548,61.3948056129032,0.008544024126
ED_AN_GIANG_THOAI_SON_DISTRICT,2023,5,9,0,163251.0,346.5771339,2.5011573483871,3.95220182580645,1.34460478967742,301.85631483871,305.342626774194,299.504546129032,80.6796018064516,92.3452020322581,64.3552806451613,0.0098983100109677
ED_AN_GIANG_TINH_BIEN_DISTRICT,2023,5,62,5,108390.0,305.676117,2.37513350645161,3.68100544516129,1.27402465483871,301.85135483871,305.416263870968,299.438112903226,80.014122483871,92.5448622903226,63.4695553548387,0.0101287371129032
ED_AN_GIANG_TRI_TON_DISTRICT,2023,5,25,3,117377.0,195.3938607,2.54979367741936,3.97136206129032,1.40272282741935,301.944735806452,305.295402903226,299.650179032258,80.1019907741936,91.9798403548387,64.1345191935484,0.0100750465354839
ED_BAC_LIEU_BAC_LIEU_CITY,2023,5,7,1,159470.0,746.1769602,3.47498334516129,5.0455054483871,2.17572002774194,301.963806774194,304.785381290323,300.100231290323,79.6726353870968,89.9714873548387,66.0281305483871,0.0072456489816129
ED_BAC_LIEU_DONG_HAI_DISTRICT,2023,5,3,0,155713.0,268.6874927,3.18749028064516,4.71123886129032,1.92471122032258,301.872942580645,304.765659354839,299.960107741935,81.3855497419355,91.9079608709677,66.8080441612903,0.0084226136
ED_BAC_LIEU_GIA_RAI_TOWN,2023,5,4,0,146410.0,413.5953986,2.62718212258065,4.20838511612903,1.4373615383871,301.785248709677,305.306918064516,299.494826451613,81.1409451612903,93.3752442903226,64.2337150967742,0.0096836517912903
ED_BAC_LIEU_HONG_DAN_DISTRICT,2023,5,6,0,114025.0,269.0616715,2.33194533870968,3.90269446774194,1.1971386616129,301.711836129032,305.602756129032,299.207534516129,81.2195420322581,94.1991504193548,62.9347352580645,0.0103643078506452
ED_BAC_LIEU_PHUOC_LONG_DISTRICT,2023,5,14,0,126624.0,302.9900599,2.4075016483871,4.04050132903226,1.25585803903226,301.71687483871,305.572866451613,299.215755483871,81.1645517741936,94.2251790645161,63.0644352258064,0.0103849985193548
ED_BAC_LIEU_VINH_LOI_DISTRICT,2023,5,9,0,222928.0,689.0872217,3.11944636612903,4.63947418387097,1.89471100225806,301.842073064516,304.983875,299.793360645161,80.5343471774194,91.5619113064516,65.6325075483871,0.0173823820325806
ED_BEN_TRE_BA_TRI_DISTRICT,2023,5,5,1,186589.0,524.7823825,3.02132542580645,4.4274268516129,1.88666867967742,301.958300645161,305.105483870968,300.033395483871,81.1464770322581,91.598082,66.2085249677419,0.0081155593751612
ED_BEN_TRE_BEN_TRE_CITY,2023,5,2,0,125750.0,1780.670906,2.06452966129032,3.20270677096774,1.18882174645161,301.64191516129,305.427309677419,299.386544193548,82.7244968709677,94.5801793225806,64.5304045483871,0.0105294815829032
ED_BEN_TRE_BINH_DAI_DISTRICT,2023,5,4,0,138451.0,330.3558335,3.04142975806452,4.33419913870968,1.9357018283871,301.966811935484,305.083877419355,300.061149032258,80.9836281612903,91.2243741935484,66.2982918709677,0.0086404762735483
